"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_notAfter","developers.cardano.org/75.2.60.5","443","OK","2026-04-26 13:53","",""
"cert_extlifeSpan","developers.cardano.org/75.2.60.5","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","developers.cardano.org/75.2.60.5","443","INFO","not present","",""
"cert_crlDistributionPoints","developers.cardano.org/75.2.60.5","443","INFO","http://e8.c.lencr.org/28.crl","",""
"cert_ocspURL","developers.cardano.org/75.2.60.5","443","INFO","--","",""
"OCSP_stapling","developers.cardano.org/75.2.60.5","443","INFO","not offered","",""
"cert_mustStapleExtension","developers.cardano.org/75.2.60.5","443","INFO","--","",""
"DNS_CAArecord","developers.cardano.org/75.2.60.5","443","LOW","--","",""
"certificate_transparency","developers.cardano.org/75.2.60.5","443","OK","yes (certificate extension)","",""
"certs_countServer","developers.cardano.org/75.2.60.5","443","INFO","2","",""
"certs_list_ordering_problem","developers.cardano.org/75.2.60.5","443","INFO","no","",""
"cert_caIssuers","developers.cardano.org/75.2.60.5","443","INFO","E8 (Let's Encrypt from US)","",""
