"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_chain <#2>","cardano.org/75.2.60.5","443","INFO","Root YE <-- ISRG Root X2","",""
"intermediate_cert <#3>","cardano.org/75.2.60.5","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEcDCCAligAwIBAgIQbI8dxyfHEX97r4U6yYD5zTANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNjA1MTMwMDAwMDBaFw0zMjA5MDIyMzU5NTlaME8xCzAJBgNVBAYTAlVTMSkwJwYDVQQKEyBJbnRlcm5ldCBTZWN1cml0eSBSZXNlYXJjaCBHcm91cDEVMBMGA1UEAxMMSVNSRyBSb290IFgyMHYwEAYHKoZIzj0CAQYFK4EEACIDYgAEzZvVn4CDCuwJSvMWSj5cz3es3mcFDR0HttwW+1qLFNvicWDEukWVEYmO6gbf9yoWHKS5xcUy4APgHoIYOIvXRdgKam7mAHf7AlF9ItgKbppbd9/w+kHsOdx1ymgHDB/qo4H1MIHyMA4GA1UdDwEB/wQEAwIBBjAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUfEKWrt5LSDv6kviejM9ti6lyN5UwHwYDVR0jBBgwFoAUebRZ5nu25eQBc4AIiMgaWPbpm24wMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDEuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94MS5jLmxlbmNyLm9yZy8wDQYJKoZIhvcNAQELBQADggIBAD2/e9frmMxNpCV03qUHegg+MV2wz9644YoXdqtH8RyWYcBO7xfjjGEXdU1e/o0OkEFiynUCOSIk/vLLo7ttz6CPAeNlWfC0XNkoGeWgK6jjXvozBaGuGH5n0UfoshMeWTuURqNN5G00sSXDTBrpp2+mgvdZQjb8K11TYMA25QA+YHNfbIEL0BniAhKS2gsnJjSzrdZLI+EZ7SEyqdR2rkjd1KutLDU+n3TFyxjniZVGur4YlhMP3mY/dV95IruAkkjOZier6hGBdEgZXXvaCz9u9iVEadsIE75pAGL8oHV5vxdARDiotRpul1IN/UZwzAbrfUFcw1HkAcYD/mlZfnQ2ieCF2MS7j3Vhv7JPDKp45fmykmzYNSrumRW0upFFKDBOoF7hsOb7oLyHS+Uft6jOUfOrogj8YUx38hKb2K20r42OgsSdDdxdeYWcMS3Sb6mwJeSZEYxJ2gaXnDSPaKhhrNkYwljyVQyr4Nq+MEJytXNTnHqaAcrNwZlVpcJL1KBnMrMjP7eanvUwL3FYj3cF17jtboLt7gLoi4+2rWZFvn+w54jmd/FIuhhZcEaU/wvU6BUNMtcVquVGHp7itQeDth5j+XL3j4WJ2SABwzUl6OeYdgpIt/ITZa+pTT0mQ/r5XyA4MEAiabn7XJjvCERlF2dcn2wqJw+CreTkkQ2R\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#3>","cardano.org/75.2.60.5","443","INFO","EE5F7ABD6981BB0255632CD8F49283451B4B18844D12040B44EE00F07B8FE2C6","",""
"intermediate_cert_notBefore <#3>","cardano.org/75.2.60.5","443","INFO","2026-05-13 00:00","",""
"intermediate_cert_notAfter <#3>","cardano.org/75.2.60.5","443","OK","2032-09-02 23:59","",""
"intermediate_cert_expiration <#3>","cardano.org/75.2.60.5","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#3>","cardano.org/75.2.60.5","443","INFO","ISRG Root X2 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","cardano.org/75.2.60.5","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","cardano.org/75.2.60.5","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","cardano.org/75.2.60.5","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","cardano.org/75.2.60.5","443","INFO","1789874039","",""
"HTTP_headerAge","cardano.org/75.2.60.5","443","INFO","0 seconds","",""
"HSTS_time","cardano.org/75.2.60.5","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","cardano.org/75.2.60.5","443","OK","includes subdomains","",""
"HSTS_preload","cardano.org/75.2.60.5","443","OK","domain IS marked for preloading","",""
"HPKP","cardano.org/75.2.60.5","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","cardano.org/75.2.60.5","443","INFO","Netlify","",""
"banner_application","cardano.org/75.2.60.5","443","INFO","No application banner found","",""
"cookie_count","cardano.org/75.2.60.5","443","INFO","0 at '/'","",""
"X-Frame-Options","cardano.org/75.2.60.5","443","OK","DENY","",""
"X-Content-Type-Options","cardano.org/75.2.60.5","443","OK","nosniff","",""
"Content-Security-Policy","cardano.org/75.2.60.5","443","OK","default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://cardano.org https://hey.cardano.org https://new-cardano-org-staging.netlify.app https://www.googletagmanager.com https://js.hsforms.net https://forms.hsforms.com https://www.google.com https://www.gstatic.com; img-src 'self' https://cardano.org https://new-cardano-org-staging.netlify.app https://forms.hsforms.com https://forms-eu1.hsforms.com data: blob: https://*.ytimg.com https://img.youtube.com https://ipfs.io https://crowdin-static.cf-downloads.crowdin.com https://*.lumacdn.com; style-src 'self' 'unsafe-inline' https://hey.cardano.org; frame-src 'self' https://www.youtube.com https://www.youtube-nocookie.com https://www.google.com https://*.hsforms.com https://new-cardano-org-staging.netlify.app/reward-calculator/ https://cardano.org/reward-calculator/ https://hey.cardano.org; media-src 'self' https://www.youtube.com https://www.youtube-nocookie.com; connect-src 'self' https://hubspot-forms-static-embed.s3.amazonaws.com https://*.hsforms.com https://*.google-analytics.com https://data.cardano.org https://ipfs.io https://*.algolianet.com https://*.algolia.net; base-uri 'self'; object-src 'none';","",""
"Permissions-Policy","cardano.org/75.2.60.5","443","OK","geolocation=(), microphone=(), camera=()","",""
"X-XSS-Protection","cardano.org/75.2.60.5","443","INFO","0","",""
"Referrer-Policy","cardano.org/75.2.60.5","443","INFO","strict-origin-when-cross-origin","",""
"Cache-Control","cardano.org/75.2.60.5","443","INFO","public,max-age=0,must-revalidate","",""
"banner_reverseproxy","cardano.org/75.2.60.5","443","INFO","--","","CWE-200"
"heartbleed","cardano.org/75.2.60.5","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","cardano.org/75.2.60.5","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","cardano.org/75.2.60.5","443","OK","supported","","CWE-310"
"secure_client_renego","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","cardano.org/75.2.60.5","443","MEDIUM","potentially VULNERABLE, br gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","cardano.org/75.2.60.5","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","cardano.org/75.2.60.5","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","cardano.org/75.2.60.5","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","cardano.org/75.2.60.5","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","cardano.org/75.2.60.5","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","cardano.org/75.2.60.5","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","cardano.org/75.2.60.5","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","cardano.org/75.2.60.5","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","cardano.org/75.2.60.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","cardano.org/75.2.60.5","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","cardano.org/75.2.60.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","cardano.org/75.2.60.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11_12","cardano.org/75.2.60.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_13_14","cardano.org/75.2.60.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_15","cardano.org/75.2.60.5","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
