"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#1>","data.cardano.org/52.211.238.28","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRALBXPpFzlydw27SHyzpFKzgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTYwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAATZ8Z5Gh/ghcWCoJuuj+rnq2h25EqfUJtlRFLFhfHWWvyILOR/VvtEKRqotPEoJhC6+QJVV6RlAN2Z17TJOdwRJ+HB7wxjnzvdxEP6sdNgA1O1tHHMWMxCcOrLqbGL0vbijgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAfYt7SiA1sgWGCIpunk46r4AExIRcMxkKgUhNlrrv1B21hOaXN/5miE+LOTbrcmU/M9yvC6MVY730GNFoL8IhJ8j8vrOLpMY22OP6baS1k9YMrtDTlwJHoGby04ThTUeBDksS9RiuHvicZqBedQdIF65pZuhpeDcGBcLiYasQr/EO5gxxtLyTmgsHSOVSBcFOn9lgv7LECPq9i7mfH3mpxgrRKSxHpOoZ0KXMcB+hHuvlklHntvcI0mMMQ0mhYj6qtMFStkF1RpCG3IPdIwpVCQqu8GV7s8ubknRzs+3C/Bm19RFOoiPpDkwvyNfvmQ14XkyqqKK5oZ8zhD32kFRQkxa8uZSuh4aTImFxknu39waBxIRXE4jKxlAmQc4QjFZoq1KmQqQg0J/1JF8RlFvJas1VcjLvYlvUB2t6npO6oQjB3l+PNf0DpQH7iUx3Wz5AjQCi6L25FjyE06q6BZ/QlmtYdl/8ZYao4SRqPEs/6cAiF+Qf5zg2UkaWtDphl1LKMuTNLotvsX99HP69V2faNyegodQ0LyTApr/vT01YPE46vNsDLgK+4cL6TrzC/a4WcmF5SRJ938zrv/duJHLXQIku5v0+EwOy59Hdm0PT/Er/84dDV0CSjdR/2XuZM3kpysSKLgD1cKiDA+IRguODCxfO9cyYIg46v9mFmBvyH04=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","data.cardano.org/52.211.238.28","443","INFO","76E9E288AAFC0E37F4390CBF946AAD997D5C1C901B3CE513D3D8FADBABE2AB85","",""
"intermediate_cert_notBefore <#1>","data.cardano.org/52.211.238.28","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","data.cardano.org/52.211.238.28","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","data.cardano.org/52.211.238.28","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","data.cardano.org/52.211.238.28","443","INFO","E6 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","data.cardano.org/52.211.238.28","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","data.cardano.org/52.211.238.28","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","data.cardano.org/52.211.238.28","443","INFO","Got no HTTP time, maybe try different URL?","",""
"HSTS","data.cardano.org/52.211.238.28","443","LOW","not offered","",""
"HPKP","data.cardano.org/52.211.238.28","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","data.cardano.org/52.211.238.28","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","data.cardano.org/52.211.238.28","443","INFO","No application banner found","",""
"cookie_count","data.cardano.org/52.211.238.28","443","INFO","0 at '/'","",""
"security_headers","data.cardano.org/52.211.238.28","443","MEDIUM","--","",""
"banner_reverseproxy","data.cardano.org/52.211.238.28","443","INFO","--","","CWE-200"
"heartbleed","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","data.cardano.org/52.211.238.28","443","OK","supported","","CWE-310"
"secure_client_renego","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","data.cardano.org/52.211.238.28","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","data.cardano.org/52.211.238.28","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","data.cardano.org/52.211.238.28","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","data.cardano.org/52.211.238.28","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","data.cardano.org/52.211.238.28","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","data.cardano.org/52.211.238.28","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","data.cardano.org/52.211.238.28","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11_12","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_13_14","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_15","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chromium_137_win11","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_137_win11","data.cardano.org/52.211.238.28","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_8_win7","data.cardano.org/52.211.238.28","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","data.cardano.org/52.211.238.28","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
